Permit Number,Permittee Name,Project Name,Mechanical Treatment Type (Suspended Growth/Attached Growth),Unit Process,Plant Optimized for Nutrient Reduction (Y/N),Year of Plant Optimization,Design Flow (MGD),Actual Flow From Permit Application (MGD) ,Average Facility Flow 2019 (MGD),Average Facility Flow 2020 (MGD),Average Facility Flow 2021 (MGD),Average Facility Flow 2022 (MGD),Average Facility Flow 2023 (MGD),Parameter,Nutrient Limit or Monitoring Requirement,Frequency,Sample Type,Monthly Average (lb/day),Daily Max (lb/day),Quarterly Average (lb/day),Monthly Average (mg/L),Daily Max (mg/L),Quarterly Average (mg/L),Rolling Average (lb/yr),Annual Average (lb/day),Annual Total (lb/yr),Total Annual Effluent Loading 2019 (lb/yr),Total Annual Effluent Conentration 2019 (mg/L) [CALCULATED],Total Annual Effluent Loading 2020 (lb/yr),"Total Annual Effluent Concentration  2020 (mg/L)
[CALCULATED]",Total Annual Effluent Loading 2021 (lb/yr),"Total Annual Effluent Concentration  2021 (mg/L)
[CALCULATED]",Total Annual Effluent Loaading 2022 (lb/yr),"Total Annual Effluent Concentration 2022 (mg/L)
[CALCULATED]",Total Annual Effluent Loading 2023 (lb/yr),Total Annual Effluent Concentration 2023 (mg/L) [CALCULATED]
TN0025488,City of Watertown,Watertown STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,0.27,0.42,0.28,0.22,0.25,0.23,0.22,"Nitrogen, Total (as N)",Limit,Weekly/Monthly,Composite,Report,Not Limited,Not Limited,Report,Report,Not Limited,22134,Not Limited,Not Limited,9782,11.51,5765,8.63,12514,16.49,6578,9.42,6552,9.81
TN0025488,City of Watertown,Watertown STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,0.27,0.42,0.28,0.22,0.25,0.23,0.22,"Phosphorous, Total (as P)",Limit,Weekly/Monthly,Composite,Report,Not Limited,Not Limited,Report,Report,Not Limited,2865,Not Limited,Not Limited,1728,2.03,1544,2.31,1946,2.56,1410,2.02,1330,1.99
TN0026158,Rockwood Water Sewer and Gas (RWSG),Rockwood STP,Suspended Growth,Oxidation Ditch,N,N/A,1.65,1.44,1.51,1.48,1.02,1.28,1.33,"Nitrogen, Total (as N)",Limit,Monthly,Composite,Not Limited,Not Limited,Not Limited,Not Limited,Report,Not Limited,Not Limited,212,Not Limited,13450,2.93,15292,3.40,7489,2.42,11773,3.03,11637,2.88
TN0026158,Rockwood Water Sewer and Gas (RWSG),Rockwood STP,Suspended Growth,Oxidation Ditch,N,N/A,1.65,1.44,1.51,1.48,1.02,1.28,1.33,"Phosphorous, Total (as P)",Limit,Monthly,Composite,Not Limited,Not Limited,Not Limited,Not Limited,Report,Not Limited,Not Limited,61,Not Limited,4430,0.97,2970,0.66,4142,1.34,5258,1.35,3034,0.75
TN0026263,Caryville-Jacksboro Utilities Commission,Caryville-Jacksboro Utilities Commission STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,0.86,0.69,0.7,0.71,0.88,0.75,0.66,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Report,Report,Not Limited,Report,Report,Not Limited,Not Limited,Not Limited,14713,6.92,19681,9.13,40910,15.32,30439,13.37,35742,17.84
TN0026263,Caryville-Jacksboro Utilities Commission,Caryville-Jacksboro Utilities Commission STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,0.86,0.69,0.7,0.71,0.88,0.75,0.66,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Report,Report,Not Limited,Report,Report,Not Limited,Not Limited,Not Limited,10226,4.81,9634,4.47,17736,6.64,14319,6.29,8465,4.23
TN0026361,Chapel Hill S.D. STP,Chapel Hill S.D. STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,0.045,0.045,0.015,0.012,0.011,0.021,0.025,"Nitrogen, Total (as N)",Neither,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded
TN0026361,Chapel Hill S.D. STP,Chapel Hill S.D. STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,0.045,0.045,0.015,0.012,0.011,0.021,0.025,"Phosphorous, Total (as P)",Monitor,Quarterly,Grab,Not Limited,Not Limited,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,57.2,1.26,53.74,1.48,84.51,2.53,16,0.25,12.2,0.16
TN0026506,Clinton Utilities Board,Clinton WWTP #1,Both,Aeration Basin Conventional Extended Air,N,N/A,3,1.66,2.07,2.34,1.97,2.05,2.11,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,35224,5.61,36985,5.21,30437,5.09,50407,8.10,25525,3.99
TN0026506,Clinton Utilities Board,Clinton WWTP #1,Both,Aeration Basin Conventional Extended Air,N,N/A,3,1.66,2.07,2.34,1.97,2.05,2.11,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,4619,0.74,5816,0.82,4356,0.73,7072,1.14,2229,0.35
TN0026581,Town of Gainesboro,Gainesboro STP,Suspended Growth,Sequencing Batch Reactor,N,N/A,0.5,0.35,0.27,0.28,0.23,0.24,0.16,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,114,0.14,5656,6.65,178,0.25,351,0.48,626,1.29
TN0026581,Town of Gainesboro,Gainesboro STP,Suspended Growth,Sequencing Batch Reactor,N,N/A,0.5,0.35,0.27,0.28,0.23,0.24,0.16,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,332,0.41,63.26,0.07,91.24,0.13,120,0.16,240,0.49
TN0026638,Town of Sneedville,Sneedville STP,Suspended Growth,Sequencing Batch Reactor,N,N/A,0.155,0.21,0.27,0.3,0.23,0.2,0.2,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,2128,2.34,3489,5.00,1104,1.82,1109,1.83
TN0026638,Town of Sneedville,Sneedville STP,Suspended Growth,Sequencing Batch Reactor,N,N/A,0.155,0.21,0.27,0.3,0.23,0.2,0.2,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,388,0.43,446,0.64,236,0.39,251,0.41
TN0027278,"Limestone Water Utility Operating Company, LLC",Grassland STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,0.25,0.45,0.44,0.26,0.26,0.25,0.27,"Nitrogen, Total (as N)",Limit,Monthly,Composite,Report,Report,Not Limited,Report,Report,Not Limited,Not Limited,15,Not Limited,6914,5.18,4753,6.02,5372,6.81,5441,7.17,3237,3.95
TN0027278,"Limestone Water Utility Operating Company, LLC",Grassland STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,0.25,0.45,0.44,0.26,0.26,0.25,0.27,"Phosphorous, Total (as P)",Limit,Monthly,Composite,Report,Report,Not Limited,Report,Report,Not Limited,Not Limited,5,Not Limited,1703,1.28,1045,1.32,1031,1.31,807,1.06,529,0.65
TN0028622,City of Wartburg,Wartburg STP,Suspended Growth,Oxidation Ditch,Y,2022,0.75,0.52,0.38,0.27,0.39,0.46,0.47,"Nitrogen, Total (as N)",Limit,Monthly,Composite,Report,Not Limited,Not Limited,Report,Report,Not Limited,22110,Not Limited,Not Limited,3902,3.38,Not Recorded,Not Recorded,1905,1.61,3972,2.84,3090,2.17
TN0028622,City of Wartburg,Wartburg STP,Suspended Growth,Oxidation Ditch,Y,2022,0.75,0.52,0.38,0.27,0.39,0.46,0.47,"Phosphorous, Total (as P)",Limit,Monthly,Composite,Report,Not Limited,Not Limited,Report,Report,Not Limited,6573,Not Limited,Not Limited,2085,1.81,1825,2.23,1969,1.66,1222,0.88,1615,1.13
TN0028754,City of Lebanon,Lebanon STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,10,7.05,6.74,7.4,6.99,6.86,6.2,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,105673,5.17,138641,6.17,124629,5.87,79041,3.80,128116,6.81
TN0028754,City of Lebanon,Lebanon STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,10,7.05,6.74,7.4,6.99,6.86,6.2,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,12975,0.63,24461,1.09,17155,0.81,12107,0.58,21402,1.14
TN0028789,City of Johnson City,Regional WWTP,Suspended Growth,Oxidation Ditch,N,N/A,6,2.1,3.37,3.42,2.86,2.82,2.84,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,42536,4.16,38440,3.70,80903,9.32,55390,6.47,47126,5.47
TN0028789,City of Johnson City,Regional WWTP,Suspended Growth,Oxidation Ditch,N,N/A,6,2.1,3.37,3.42,2.86,2.82,2.84,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,4065,0.40,4903,0.47,12199,1.41,11939,1.39,7490,0.87
TN0028827,City of Franklin,Franklin Water Reclamation Facility (WRF),Suspended Growth,Oxidation Ditch,N,N/A,16,13.57,9.25,10.39,9.74,9.44,5.03,"Nitrogen, Total (as N)",Limit,Twice A Month,Composite,Not Limited,Not Limited,Not Limited,Report,Report,Not Limited,Not Limited,290,Not Limited,61710,2.20,70108,2.22,75823,2.56,99659,3.48,117619,7.70
TN0028827,City of Franklin,Franklin Water Reclamation Facility (WRF),Suspended Growth,Oxidation Ditch,N,N/A,16,13.57,9.25,10.39,9.74,9.44,5.03,"Phosphorous, Total (as P)",Limit,Weekly,Composite,Not Limited,Not Limited,Not Limited,Report,Report,Not Limited,63693,Not Limited,Not Limited,22862,0.81,28642,0.91,27704,0.94,27769,0.97,43727,2.86
TN0029718,"Berry's Chapel Utility, Inc.",Berry's Chapel Utility STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,0.4,0.2,0.16,0.23,0.25,0.27,0.21,"Nitrogen, Total (as N)",Limit,Twice A Month,Composite,10,Not Limited,Not Limited,3,4.5,Not Limited,Not Limited,Not Limited,Not Limited,1643,3.38,718,1.03,3014,3.97,1822,2.22,494,0.77
TN0029718,"Berry's Chapel Utility, Inc.",Berry's Chapel Utility STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,0.4,0.2,0.16,0.23,0.25,0.27,0.21,"Phosphorous, Total (as P)",Limit,Twice A Month,Composite,Report,Report,Not Limited,5.7,Report,Not Limited,Not Limited,Not Limited,Not Limited,2630,5.42,2969,4.25,3074,4.05,3246,3.96,2168,3.40
TN0030899,Hartsville-Trousdale County Water/Sewer Utility District,Hartsville STP,Suspended Growth,Sequencing Batch Reactor,N,N/A,0.75,0.63,0.63,0.62,0.52,0.52,0.48,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,1665,0.88,5355,3.39,5022,3.18,2687,1.84
TN0030899,Hartsville-Trousdale County Water/Sewer Utility District,Hartsville STP,Suspended Growth,Sequencing Batch Reactor,N,N/A,0.75,0.63,0.63,0.62,0.52,0.52,0.48,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,863,0.46,4079,2.58,1212,0.77,1619,1.11
TN0054950,Johnson City,Buffalo Valley STP,Suspended Growth,Oxidation Ditch,N,N/A,0.045,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,"Nitrogen, Total (as N)",Monitor,Quarterly,Grab,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded
TN0054950,Johnson City,Buffalo Valley STP,Suspended Growth,Oxidation Ditch,N,N/A,0.045,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,"Phosphorous, Total (as P)",Monitor,Quarterly,Grab,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded
TN0055026,City of Westmoreland,Westmoreland STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,0.3,0.17,0.19,0.15,0.12,0.13,0.14,"Nitrogen, Total (as N)",Limit,Twice A Month,Composite,Report,Report,Not Limited,Report,Report,Not Limited,7300,Not Limited,Not Limited,6320,10.96,6949,15.26,11942,32.79,9957,25.23,13405,31.55
TN0055026,City of Westmoreland,Westmoreland STP,Suspended Growth,Oxidation Ditch,N,N/A,0.3,0.17,0.19,0.15,0.12,0.13,0.14,"Phosphorous, Total (as P)",Limit,Twice A Month,Composite,Report,Report,Not Limited,Report,Report,Not Limited,913,Not Limited,Not Limited,1260,2.18,1112,2.44,1526,4.19,1781,4.51,2645,6.22
TN0055310,Webb Creek Utility District,Webb Creek STP,Suspended Growth,Oxidation Ditch,N,N/A,0.2,0.15,0.15,0.17,0.15,0.14,0.13,"Nitrogen, Total (as N)",Monitor,Quarterly,Grab,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,1348,2.61,1176,2.58,1468,3.45,1324,3.36
TN0055310,Webb Creek Utility District,Webb Creek STP,Suspended Growth,Oxidation Ditch,N,N/A,0.2,0.15,0.15,0.17,0.15,0.14,0.13,"Phosphorous, Total (as P)",Monitor,Quarterly,Grab,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,188,0.36,173,0.38,192,0.45,165,0.42
TN0056103,City of Columbia,Columbia STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,10,5.45,6.07,6.54,5.9,5.46,5.68,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,69819,3.79,80288,4.04,82477,4.61,53055,3.20,58968,3.42
TN0056103,City of Columbia,Columbia STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,10,5.45,6.07,6.54,5.9,5.46,5.68,"Phosphorous, Total (as P)",Limit,Monthly,Composite,Report,Report,Not Limited,Report,Report,Not Limited,Not Limited,150,Not Limited,23757,1.29,28575,1.44,25322,1.41,24235,1.46,23933,1.39
TN0057461,Town of Collierville,Shelton Rd. STP,Suspended Growth,Oxidation Ditch,Y,2016,3.5,1.8,1.8,1.71,1.63,1.63,1.8,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,11721,2.15,11000,2.12,9846,1.99,9383,1.90,62655,11.47
TN0057461,Town of Collierville,Shelton Rd. STP,Suspended Growth,Oxidation Ditch,Y,2016,3.5,1.8,1.8,1.71,1.63,1.63,1.8,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,5178,0.95,2959,0.57,4069,0.82,4527,0.91,4320,0.79
TN0058181,Loudon Utilities Board,Loudon STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,14,7.47,8.66,7.74,7.98,7.72,7.26,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,487515,18.55,403533,17.18,386488,15.96,260604,11.12,345341,15.67
TN0058181,Loudon Utilities Board,Loudon STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,14,7.47,8.66,7.74,7.98,7.72,7.26,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,164695,6.27,133684,5.69,179197,7.40,50328,2.15,112725,5.12
TN0058238,Tellico Area Services System,Niles Ferry Wastewater Treatment Facility,Suspended Growth,Oxidation Ditch,N,N/A,2,0.27,0.39,0.38,0.45,0.41,0.41,"Nitrogen, Total (as N)",Monitor,Monthly,Composite,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,8657,7.31,11147,9.66,5101,3.73,9235,7.42,8858,7.12
TN0058238,Tellico Area Services System,Niles Ferry Wastewater Treatment Facility,Suspended Growth,Oxidation Ditch,N,N/A,2,0.27,0.39,0.38,0.45,0.41,0.41,"Phosphorous, Total (as P)",Monitor,Monthly,Composite,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,3039,2.57,3708,3.21,1673,1.22,3631,2.92,3136,2.52
TN0058521,Town of Decatur,Decatur STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,0.53,0.36,0.39,0.42,0.39,0.25,0.14,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,1401,1.18,1356,1.06,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded
TN0058521,Town of Decatur,Decatur STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,0.53,0.36,0.39,0.42,0.39,0.25,0.14,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,309,0.26,100,0.08,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded
TN0058530,Town of Oakdale,Oakdale WWTP,Suspended Growth,Activated Sludge,N,N/A,0.01,0.35,0.35,0.35,0.35,0.35,0.35,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded
TN0058530,Town of Oakdale,Oakdale WWTP,Suspended Growth,Activated Sludge,N,N/A,0.01,0.35,0.35,0.35,0.35,0.35,0.35,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded
TN0059323,Hallsdale Powell Utility District,Raccoon Valley STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,0.3,0.073,0.086,0.075,0.078,0.082,0.073,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,1545,5.92,744,3.27,591,2.50,398,1.60,516,2.33
TN0059323,Hallsdale Powell Utility District,Raccoon Valley STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,0.3,0.073,0.086,0.075,0.078,0.082,0.073,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,292,1.12,88.97,0.39,192,0.81,189,0.76,188,0.85
TN0059358,Copper Basin Utility District,Copper Basin U.D. STP,Suspended Growth,Oxidation Ditch,N,N/A,0.14,0.063,0.054,0.056,0.065,0.044,0.036,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,Not Recorded,Not Recorded,976,4.95,909,6.81,341,3.12
TN0059358,Copper Basin Utility District,Copper Basin U.D. STP,Suspended Growth,Oxidation Ditch,N,N/A,0.14,0.063,0.054,0.056,0.065,0.044,0.036,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,Not Recorded,Not Recorded,480,2.43,289,2.16,322,2.95
TN0059366,Town of Mosheim,Lick Creek Treatment Plant,Both,Aeration Basin Conventional Extended Air,N,N/A,0.975,0.61,0.26,0.57,0.64,0.64,0.64,"Nitrogen, Total (as N)",Limit,Weekly/Annual,Composite,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,23744,Not Limited,Not Limited,33040,41.87,36106,20.87,13318,6.86,10824,5.57,35766,18.41
TN0059366,Town of Mosheim,Lick Creek Treatment Plant,Both,Trickling Filter ,N,N/A,0.975,0.61,0.26,0.57,0.64,0.64,0.64,"Phosphorous, Total (as P)",Limit,Weekly/Annual,Composite,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,2968,Not Limited,Not Limited,3264,4.14,8201,4.74,1722,0.89,1184,0.61,4043,2.08
TN0059404,City of White House,White House STP,Suspended Growth,Oxidation Ditch,N,N/A,2,0.49,0.41,0.34,0.34,0.34,0.31,"Nitrogen, Total (as N)",Limit,Weekly/Annual,Composite,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,33104,Not Limited,Not Limited,27366,21.99,27010,26.17,20895,20.25,25206,24.42,24057,25.57
TN0059404,City of White House,White House STP,Suspended Growth,Oxidation Ditch,N,N/A,2,0.49,0.41,0.34,0.34,0.34,0.31,"Phosphorous, Total (as P)",Limit,Weekly/Annual,Composite,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,2207,Not Limited,Not Limited,6317,5.08,6124,5.93,5262,5.10,5698,5.52,5510,5.86
TN0059846,Grainger County,Industrial Park STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,0.035,0.019,0.0098,0.0079,0.0074,0.008,0.0086,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,1566,52.65,2712,113.10,3538,157.51,5619,231.40,3837,146.99
TN0059846,Grainger County,Industrial Park STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,0.035,0.019,0.0098,0.0079,0.0074,0.008,0.0086,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,198,6.66,365,15.22,495,22.04,518,21.33,543,20.80
TN0059897,Tellico Reservoir Development Agency (TRDA),Tellico Reservoir Development Agency WWTP,Suspended Growth,Oxidation Ditch,N,N/A,0.75,0.22,0.44,0.15,0.16,0.27,0.32,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,2311,1.73,1437,3.16,2281,4.70,3269,3.99,2480,2.55
TN0059897,Tellico Reservoir Development Agency (TRDA),Tellico Reservoir Development Agency WWTP,Suspended Growth,Oxidation Ditch,N,N/A,0.75,0.22,0.44,0.15,0.16,0.27,0.32,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,594,0.44,513,1.13,635,1.31,1115,1.36,806,0.83
TN0060186,Town of Huntsville,Helenwood STP,Suspended Growth,Schreiber Continuously Sequencing Reactor,N,N/A,0.2,0.11,0.17,0.1,0.086,0.097,0.11,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,3728,7.22,539,1.78,937,3.59,1355,4.60,2322,6.95
TN0060186,Town of Huntsville,Helenwood STP,Suspended Growth,Schreiber Continuously Sequencing Reactor,N,N/A,0.2,0.11,0.17,0.1,0.086,0.097,0.11,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,666,1.29,200,0.66,117,0.45,174,0.59,294,0.88
TN0060232,White House Utility District,Tanasi Shores WWTP,Suspended Growth,Schreiber Continuously Sequencing Reactor,N,N/A,0.04,0.25,0.25,0.25,0.25,0.25,0.25,"Nitrogen, Total (as N)",Neither,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded
TN0060232,White House Utility District,Tanasi Shores WWTP,Suspended Growth,Schreiber Continuously Sequencing Reactor,N,N/A,0.04,0.25,0.25,0.25,0.25,0.25,0.25,"Phosphorous, Total (as P)",Neither,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded
TN0060569,East Sevier County Utility District (ESCUD),ESCUD STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,0.045,0.078,0.12,0.053,0.038,0.063,0.049,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,468,2.91,Not Recorded,Not Recorded,Not Recorded,Not Recorded,484,3.25
TN0060569,East Sevier County Utility District (ESCUD),ESCUD STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,0.045,0.078,0.12,0.053,0.038,0.063,0.049,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded
TN0060747,Town of Cumberland Gap,Cumberland Gap STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,0.1,0.06,0.084,0.083,0.059,0.065,0.062,"Nitrogen, Total (as N)",Neither,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded
TN0060747,Town of Cumberland Gap,Cumberland Gap STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,0.1,0.06,0.084,0.083,0.059,0.065,0.062,"Phosphorous, Total (as P)",Neither,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded
